Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Eastern Ethiopia,Ethiopia,Eastern Community 1547,4288,Well,26.1,14,2,Toilets,19265,Yes,Yes,10.0,25.3,68.9
Western Uganda,Uganda,Western Community 1548,2407,Well,43.5,16,6,Toilets,35266,Yes,No,1.8,5.1,81.4
Western Uganda,Uganda,Western Community 1549,2943,River,53.2,42,3,Toilets,27776,Yes,No,5.0,18.8,63.9
Southern Zambia,Zambia,Southern Community 1550,11365,Borehole,81.3,35,3,Latrines,47104,No,Yes,1.5,14.3,92.3
Northern Ghana,Ghana,Northern Community 1551,3556,Borehole,81.6,24,8,Latrines,7776,Yes,Yes,10.0,4.5,53.6
Eastern Ethiopia,Ethiopia,Eastern Community 1552,10987,Well,80.2,30,9,Toilets,20189,Yes,No,8.7,23.2,53.8
Western Uganda,Uganda,Western Community 1553,11138,Borehole,90.6,5,8,Toilets,34862,No,No,3.6,28.2,74.6
Western Uganda,Uganda,Western Community 1554,4893,Borehole,36.5,4,10,Latrines,39482,Yes,No,4.3,6.1,70.2
Central Senegal,Senegal,Central Community 1555,4406,Well,41.8,17,3,Latrines,23437,No,No,7.1,3.6,80.5
Western Kenya,Kenya,Western Community 1556,3816,Borehole,71.6,28,8,Toilets,37577,No,No,7.6,25.1,92.9
Eastern Rwanda,Rwanda,Eastern Community 1557,11841,Borehole,50.6,42,3,Toilets,33132,No,No,3.5,21.4,93.9
Northern Malawi,Malawi,Northern Community 1558,1201,Borehole,56.4,29,9,Latrines,34104,No,No,4.8,24.7,69.5
Central Senegal,Senegal,Central Community 1559,5337,Well,35.3,34,5,Toilets,24002,No,Yes,4.2,22.2,70.7
Western Uganda,Uganda,Western Community 1560,3597,River,20.2,29,8,Latrines,21590,No,No,6.1,22.9,63.9
Eastern Rwanda,Rwanda,Eastern Community 1561,4383,Well,34.3,24,7,Latrines,6721,Yes,Yes,3.0,21.9,89.5
Eastern Nigeria,Nigeria,Eastern Community 1562,14236,Well,42.3,7,2,Latrines,1140,No,No,2.8,24.8,81.7
Eastern Nigeria,Nigeria,Eastern Community 1563,12434,River,69.8,48,7,Latrines,20774,Yes,Yes,8.6,14.2,87.8
Western Kenya,Kenya,Western Community 1564,6651,Well,93.8,19,3,Toilets,34490,Yes,No,7.7,15.9,83.7
Northern Malawi,Malawi,Northern Community 1565,7109,Borehole,42.3,38,4,Latrines,7168,No,No,4.2,17.6,61.4
Western Uganda,Uganda,Western Community 1566,13622,Well,76.6,46,7,Latrines,48868,Yes,No,7.7,0.6,93.5
Western Kenya,Kenya,Western Community 1567,13298,River,62.1,32,9,Toilets,23147,Yes,No,9.8,13.2,85.5
Western Kenya,Kenya,Western Community 1568,13406,Borehole,33.4,1,1,Latrines,10068,No,No,5.5,2.4,62.8
Northern Malawi,Malawi,Northern Community 1569,3412,Well,22.2,37,2,Toilets,31129,No,Yes,5.1,8.9,86.5
Southern Zambia,Zambia,Southern Community 1570,14769,Well,34.0,48,5,Latrines,30856,Yes,No,5.4,21.3,78.6
Eastern Ethiopia,Ethiopia,Eastern Community 1571,2029,Well,42.6,21,5,Latrines,39553,Yes,Yes,4.0,24.2,73.7
Western Uganda,Uganda,Western Community 1572,9155,Borehole,97.3,22,5,Toilets,41915,No,No,5.5,15.1,70.3
Eastern Nigeria,Nigeria,Eastern Community 1573,8985,Well,73.6,33,10,Latrines,6071,No,No,9.8,17.4,73.1
Dar es Salaam,Tanzania,Dar Community 1574,1035,Well,33.0,19,8,Toilets,2025,No,No,4.2,16.2,53.5
Eastern Ethiopia,Ethiopia,Eastern Community 1575,14784,Borehole,89.0,5,1,Latrines,9098,Yes,No,5.9,22.2,65.5
Eastern Ethiopia,Ethiopia,Eastern Community 1576,14313,River,66.7,38,0,Toilets,14789,No,Yes,3.8,25.1,50.0
Southern Zambia,Zambia,Southern Community 1577,4844,Borehole,54.3,16,2,Toilets,6121,No,Yes,2.6,29.9,54.8
Northern Ghana,Ghana,Northern Community 1578,1706,Borehole,43.3,28,6,Latrines,19836,Yes,No,3.7,5.2,68.6
Dar es Salaam,Tanzania,Dar Community 1579,13605,Well,58.6,11,9,Latrines,4096,No,Yes,5.5,13.1,76.2
Eastern Ethiopia,Ethiopia,Eastern Community 1580,2383,River,42.1,26,3,Toilets,19196,Yes,Yes,6.8,26.3,70.6
Northern Malawi,Malawi,Northern Community 1581,9470,River,47.7,47,9,Latrines,39963,No,No,4.1,25.2,69.8
Western Uganda,Uganda,Western Community 1582,3922,River,70.9,9,3,Latrines,23529,No,No,5.0,7.1,61.9
Southern Zambia,Zambia,Southern Community 1583,2622,Borehole,44.1,2,10,Toilets,13832,Yes,Yes,1.9,16.8,94.9
Northern Malawi,Malawi,Northern Community 1584,1676,Borehole,89.1,48,5,Toilets,36772,No,No,6.0,14.0,87.5
Western Kenya,Kenya,Western Community 1585,9580,Borehole,58.9,50,5,Latrines,47914,No,No,7.3,9.1,78.9
Northern Ghana,Ghana,Northern Community 1586,5613,Well,83.8,4,2,Latrines,25028,Yes,No,4.6,21.5,61.6
Southern Zambia,Zambia,Southern Community 1587,10711,Borehole,82.7,11,5,Latrines,47597,Yes,Yes,9.5,26.5,95.0
Northern Malawi,Malawi,Northern Community 1588,2766,Well,79.5,19,5,Latrines,18724,Yes,No,7.0,29.5,85.6
Western Uganda,Uganda,Western Community 1589,12296,Well,44.0,27,0,Toilets,33244,No,Yes,2.8,24.0,67.9
Eastern Ethiopia,Ethiopia,Eastern Community 1590,9785,River,19.4,43,6,Toilets,13836,Yes,Yes,7.0,13.3,90.1
Eastern Nigeria,Nigeria,Eastern Community 1591,3517,Well,74.8,32,1,Toilets,36820,Yes,No,1.9,27.4,58.7
Western Kenya,Kenya,Western Community 1592,3983,Borehole,47.9,20,7,Latrines,33104,No,No,8.0,12.4,88.9
Western Uganda,Uganda,Western Community 1593,10789,River,66.4,26,6,Toilets,39381,Yes,No,5.3,29.5,82.4
Western Kenya,Kenya,Western Community 1594,1168,River,94.5,50,3,Toilets,21826,Yes,No,7.1,12.8,79.1
Eastern Rwanda,Rwanda,Eastern Community 1595,4657,Well,39.0,49,2,Toilets,20121,Yes,No,9.3,21.5,54.5
Central Senegal,Senegal,Central Community 1596,11705,Well,99.0,48,0,Toilets,38741,No,No,6.4,16.0,81.1
Dar es Salaam,Tanzania,Dar Community 1597,7763,River,17.5,18,8,Toilets,2654,Yes,Yes,0.7,2.3,56.8
Western Kenya,Kenya,Western Community 1598,12495,Well,82.3,10,10,Toilets,47688,Yes,Yes,7.5,26.5,79.5
Eastern Rwanda,Rwanda,Eastern Community 1599,1778,Borehole,45.8,37,4,Latrines,46829,No,Yes,3.0,15.4,75.3
Western Uganda,Uganda,Western Community 1600,2255,River,42.5,18,3,Latrines,35632,No,Yes,9.4,27.3,69.2
Western Kenya,Kenya,Western Community 1601,4039,River,91.1,28,0,Latrines,22880,No,Yes,8.6,25.7,80.6
Western Kenya,Kenya,Western Community 1602,10118,River,28.0,20,1,Toilets,46457,Yes,No,1.5,0.2,68.5
Eastern Ethiopia,Ethiopia,Eastern Community 1603,8828,River,50.2,42,0,Latrines,45249,No,No,5.9,25.0,87.0
Western Kenya,Kenya,Western Community 1604,14951,Borehole,26.1,49,9,Toilets,29816,Yes,Yes,2.8,28.5,91.6
Eastern Rwanda,Rwanda,Eastern Community 1605,2852,Borehole,70.4,39,3,Toilets,33522,Yes,No,2.3,6.3,57.1
Western Kenya,Kenya,Western Community 1606,869,River,25.6,11,6,Toilets,45918,Yes,Yes,0.7,3.5,53.0
Northern Ghana,Ghana,Northern Community 1607,2840,Borehole,65.6,3,4,Latrines,16664,Yes,Yes,8.1,21.3,73.1
Western Uganda,Uganda,Western Community 1608,3149,Well,80.9,13,0,Toilets,5818,Yes,No,4.5,11.9,74.1
Northern Ghana,Ghana,Northern Community 1609,12738,Borehole,69.4,50,9,Latrines,41418,No,Yes,8.0,15.1,80.1
Eastern Rwanda,Rwanda,Eastern Community 1610,9478,Well,49.2,41,9,Toilets,26196,No,Yes,6.6,28.5,60.9
Southern Zambia,Zambia,Southern Community 1611,10150,Borehole,13.0,27,5,Latrines,8050,Yes,Yes,1.8,7.8,54.8
Western Uganda,Uganda,Western Community 1612,7943,River,10.1,20,5,Toilets,41351,Yes,Yes,7.7,4.6,63.5
Western Kenya,Kenya,Western Community 1613,8492,Well,50.8,4,8,Toilets,18089,No,No,10.0,8.8,85.0
Eastern Ethiopia,Ethiopia,Eastern Community 1614,6137,River,52.5,45,0,Latrines,27911,Yes,Yes,2.7,4.9,62.5
Southern Zambia,Zambia,Southern Community 1615,7656,Well,68.8,49,0,Latrines,3665,Yes,No,4.4,7.6,72.7
Western Uganda,Uganda,Western Community 1616,13670,Borehole,14.2,41,3,Latrines,13199,Yes,Yes,9.6,19.5,84.2
Eastern Nigeria,Nigeria,Eastern Community 1617,2028,Borehole,85.2,3,2,Toilets,2119,Yes,Yes,1.8,26.6,59.2
Western Kenya,Kenya,Western Community 1618,9554,Borehole,29.4,30,9,Toilets,32369,No,Yes,2.6,3.4,75.2
Eastern Ethiopia,Ethiopia,Eastern Community 1619,10215,Borehole,82.4,7,2,Toilets,7182,No,No,1.1,21.9,65.8
Northern Malawi,Malawi,Northern Community 1620,10334,Borehole,61.2,40,1,Toilets,15256,Yes,No,2.2,4.9,82.5
Eastern Rwanda,Rwanda,Eastern Community 1621,701,River,32.5,34,10,Toilets,22672,Yes,Yes,8.4,14.5,94.0
Western Kenya,Kenya,Western Community 1622,11325,Borehole,86.1,38,3,Latrines,37017,Yes,Yes,2.0,6.9,93.6
Dar es Salaam,Tanzania,Dar Community 1623,5321,Well,64.6,38,10,Toilets,3168,No,No,8.4,22.9,68.6
Eastern Ethiopia,Ethiopia,Eastern Community 1624,7298,Borehole,83.5,49,6,Toilets,25586,Yes,No,5.1,22.8,66.9
Eastern Nigeria,Nigeria,Eastern Community 1625,9995,River,66.9,36,6,Latrines,9404,No,Yes,3.8,18.7,92.4
Eastern Ethiopia,Ethiopia,Eastern Community 1626,4806,Well,42.0,49,3,Latrines,11093,No,No,3.8,19.8,74.0
Northern Malawi,Malawi,Northern Community 1627,7892,Borehole,87.7,9,2,Latrines,13824,Yes,No,8.3,17.3,76.8
Central Senegal,Senegal,Central Community 1628,1367,Borehole,83.2,28,9,Latrines,10372,Yes,Yes,4.0,26.6,84.8
Eastern Rwanda,Rwanda,Eastern Community 1629,6634,Borehole,55.0,27,7,Latrines,46825,No,Yes,3.5,3.4,53.0
Central Senegal,Senegal,Central Community 1630,10254,Borehole,59.3,43,4,Toilets,36268,Yes,No,3.8,10.8,92.0
Western Kenya,Kenya,Western Community 1631,3018,Well,48.9,35,1,Latrines,32349,Yes,No,6.9,8.8,81.0
Western Kenya,Kenya,Western Community 1632,12716,River,27.6,35,0,Toilets,1573,No,Yes,3.5,20.5,85.2
Eastern Ethiopia,Ethiopia,Eastern Community 1633,14142,River,68.0,28,9,Toilets,20619,Yes,Yes,1.1,12.6,65.9
Northern Ghana,Ghana,Northern Community 1634,9613,Borehole,71.5,30,0,Latrines,44041,Yes,No,8.5,21.0,54.9
Western Kenya,Kenya,Western Community 1635,12813,River,96.6,37,0,Latrines,16315,Yes,Yes,1.1,16.7,79.4
Eastern Nigeria,Nigeria,Eastern Community 1636,3841,Borehole,34.7,25,0,Latrines,17792,No,No,8.6,28.7,79.6
Northern Malawi,Malawi,Northern Community 1637,9930,River,38.1,41,4,Latrines,33905,Yes,Yes,2.0,3.3,77.0
Western Uganda,Uganda,Western Community 1638,7546,River,88.8,30,9,Toilets,19285,No,Yes,7.5,23.6,67.6
Eastern Nigeria,Nigeria,Eastern Community 1639,6248,Well,93.6,21,3,Latrines,40906,No,No,9.2,23.9,56.4
Western Uganda,Uganda,Western Community 1640,836,River,56.0,17,8,Latrines,47889,Yes,Yes,3.5,15.7,62.7
Southern Zambia,Zambia,Southern Community 1641,5992,Borehole,61.5,30,0,Latrines,27968,No,Yes,6.4,27.6,60.8
Northern Ghana,Ghana,Northern Community 1642,9443,River,68.9,33,8,Latrines,41556,No,Yes,3.5,23.5,72.5
Eastern Nigeria,Nigeria,Eastern Community 1643,7418,River,49.3,49,10,Toilets,26532,Yes,No,8.9,23.2,66.2
Central Senegal,Senegal,Central Community 1644,11896,River,41.4,23,9,Toilets,27898,No,Yes,2.7,1.8,68.7
Central Senegal,Senegal,Central Community 1645,5034,Well,57.5,29,8,Latrines,15486,No,No,3.5,21.6,94.6
Northern Malawi,Malawi,Northern Community 1646,9387,Borehole,15.5,43,4,Toilets,15891,Yes,Yes,0.5,4.3,88.1
Northern Ghana,Ghana,Northern Community 1647,7743,Borehole,89.8,44,3,Toilets,24432,Yes,Yes,9.6,7.0,60.6
Eastern Nigeria,Nigeria,Eastern Community 1648,5740,Well,71.0,46,4,Latrines,30839,No,No,3.0,12.4,90.0
Western Kenya,Kenya,Western Community 1649,4359,Borehole,90.0,50,5,Toilets,29736,Yes,No,3.0,2.7,81.9
Eastern Rwanda,Rwanda,Eastern Community 1650,9099,Borehole,80.9,29,1,Toilets,28057,Yes,Yes,1.1,6.7,53.3
Western Kenya,Kenya,Western Community 1651,847,Borehole,24.1,17,6,Latrines,36272,Yes,Yes,2.5,26.0,92.2
Northern Malawi,Malawi,Northern Community 1652,7078,Well,63.8,49,0,Latrines,4597,No,Yes,7.6,27.6,91.5
Eastern Rwanda,Rwanda,Eastern Community 1653,11205,Borehole,35.5,29,5,Latrines,49508,No,No,8.2,22.1,54.7
Eastern Nigeria,Nigeria,Eastern Community 1654,14329,Well,11.5,41,0,Toilets,13006,No,Yes,1.1,27.2,58.7
Northern Malawi,Malawi,Northern Community 1655,1813,River,56.9,7,10,Toilets,8167,Yes,Yes,3.3,28.5,69.1
Northern Ghana,Ghana,Northern Community 1656,11215,Well,13.6,30,6,Toilets,18701,No,No,1.6,2.3,75.3
Eastern Nigeria,Nigeria,Eastern Community 1657,10840,Well,56.7,48,8,Toilets,21110,No,No,6.2,25.5,89.8
Eastern Nigeria,Nigeria,Eastern Community 1658,3378,Well,86.9,46,8,Toilets,49957,No,Yes,7.0,6.4,54.7
Eastern Ethiopia,Ethiopia,Eastern Community 1659,8170,River,87.7,27,3,Latrines,32350,Yes,No,3.6,18.4,80.9
Eastern Rwanda,Rwanda,Eastern Community 1660,12355,Well,92.1,35,6,Latrines,23030,Yes,No,9.1,0.2,64.8
Northern Malawi,Malawi,Northern Community 1661,7352,Well,86.9,33,1,Latrines,38134,No,No,9.3,9.5,66.9
Eastern Ethiopia,Ethiopia,Eastern Community 1662,3563,Well,78.0,39,6,Latrines,6177,No,No,1.2,1.6,64.4
Eastern Rwanda,Rwanda,Eastern Community 1663,13194,Well,24.6,43,3,Toilets,16639,No,Yes,2.7,21.1,51.7
Central Senegal,Senegal,Central Community 1664,9704,Borehole,20.1,23,7,Toilets,25426,No,Yes,8.3,2.6,82.4
Dar es Salaam,Tanzania,Dar Community 1665,9812,River,74.0,35,0,Latrines,10904,Yes,Yes,2.6,3.5,51.9
Western Kenya,Kenya,Western Community 1666,13909,River,71.5,31,10,Latrines,20940,Yes,No,8.1,6.3,78.6
Western Kenya,Kenya,Western Community 1667,8776,Well,80.1,49,7,Latrines,9618,No,Yes,9.0,26.0,69.2
Eastern Ethiopia,Ethiopia,Eastern Community 1668,4161,River,19.0,31,1,Latrines,5851,Yes,No,6.0,23.6,89.8
Western Uganda,Uganda,Western Community 1669,6121,Borehole,95.5,27,1,Latrines,24410,No,No,2.8,20.2,53.8
Southern Zambia,Zambia,Southern Community 1670,2700,Borehole,68.8,17,9,Latrines,10682,No,Yes,4.5,7.0,50.6
Southern Zambia,Zambia,Southern Community 1671,12801,Borehole,25.8,39,2,Toilets,39490,Yes,No,6.6,19.8,59.9
Eastern Nigeria,Nigeria,Eastern Community 1672,8305,Borehole,83.7,19,0,Latrines,22964,No,No,1.4,19.5,53.7
Western Kenya,Kenya,Western Community 1673,9256,River,62.2,24,7,Toilets,35398,No,No,0.8,1.5,94.6
Central Senegal,Senegal,Central Community 1674,5647,Borehole,57.7,36,5,Latrines,13869,No,No,8.8,1.5,90.0
Northern Ghana,Ghana,Northern Community 1675,11305,Well,86.8,46,4,Latrines,41231,No,No,5.4,19.7,63.8
Eastern Rwanda,Rwanda,Eastern Community 1676,764,Borehole,12.5,11,6,Latrines,4940,Yes,Yes,1.8,1.2,89.6
Northern Malawi,Malawi,Northern Community 1677,12637,Borehole,16.8,9,0,Latrines,32725,Yes,No,2.0,0.6,82.0
Eastern Rwanda,Rwanda,Eastern Community 1678,540,Borehole,95.3,20,7,Latrines,19785,No,Yes,3.2,8.0,50.5
Western Uganda,Uganda,Western Community 1679,3997,Well,51.3,3,1,Latrines,32933,No,No,8.9,11.0,71.2
Central Senegal,Senegal,Central Community 1680,12765,Well,67.2,16,0,Toilets,38201,No,No,8.8,11.4,57.2
Northern Ghana,Ghana,Northern Community 1681,7018,Borehole,56.3,41,6,Latrines,9721,Yes,Yes,5.7,26.0,91.7
Eastern Nigeria,Nigeria,Eastern Community 1682,14201,Borehole,99.5,2,7,Latrines,13196,No,Yes,3.9,4.8,77.2
Northern Ghana,Ghana,Northern Community 1683,7193,Borehole,65.7,18,6,Toilets,42555,Yes,No,7.8,7.8,80.0
Southern Zambia,Zambia,Southern Community 1684,3907,Well,22.8,45,7,Toilets,37111,Yes,Yes,9.9,16.6,61.0
Western Kenya,Kenya,Western Community 1685,8532,River,34.0,25,2,Latrines,20449,Yes,Yes,7.7,15.7,77.7
Eastern Ethiopia,Ethiopia,Eastern Community 1686,12742,Borehole,73.0,43,7,Latrines,23244,Yes,No,7.6,5.5,74.8
Western Kenya,Kenya,Western Community 1687,8577,Well,27.6,46,9,Toilets,5687,Yes,No,4.6,10.6,55.4
Central Senegal,Senegal,Central Community 1688,10139,Borehole,28.2,50,9,Toilets,36226,No,No,6.2,23.5,88.6
Eastern Ethiopia,Ethiopia,Eastern Community 1689,11787,Well,72.4,35,10,Toilets,49871,No,No,8.9,23.4,72.7
Western Uganda,Uganda,Western Community 1690,13862,Borehole,57.0,2,8,Toilets,42106,No,No,9.4,15.5,50.6
Southern Zambia,Zambia,Southern Community 1691,4426,Borehole,33.5,41,8,Toilets,33394,No,Yes,1.4,18.8,65.1
Dar es Salaam,Tanzania,Dar Community 1692,6611,River,69.1,7,0,Toilets,2485,No,Yes,5.9,7.9,89.4
Northern Ghana,Ghana,Northern Community 1693,12861,River,42.5,48,6,Toilets,38827,Yes,Yes,9.5,13.6,77.8
Northern Malawi,Malawi,Northern Community 1694,7472,Well,73.2,35,2,Toilets,20200,No,No,7.1,25.3,63.8
Western Kenya,Kenya,Western Community 1695,14331,Well,34.7,17,8,Toilets,22063,No,No,5.3,8.0,78.6
Central Senegal,Senegal,Central Community 1696,4056,Well,14.4,42,4,Toilets,4222,Yes,No,6.1,22.9,59.0
Eastern Rwanda,Rwanda,Eastern Community 1697,7692,River,50.6,28,9,Latrines,41335,Yes,Yes,6.9,14.6,66.2
Central Senegal,Senegal,Central Community 1698,9959,River,81.6,37,10,Toilets,22170,No,Yes,6.8,1.8,78.2
Western Uganda,Uganda,Western Community 1699,5184,Borehole,77.1,20,1,Latrines,45103,Yes,No,3.7,2.4,52.7
Eastern Ethiopia,Ethiopia,Eastern Community 1700,14925,Borehole,52.1,36,9,Toilets,27594,No,Yes,5.6,17.8,61.0
Dar es Salaam,Tanzania,Dar Community 1701,3762,Well,51.7,23,1,Latrines,41112,Yes,Yes,1.8,12.2,50.3
Northern Malawi,Malawi,Northern Community 1702,13669,River,70.9,9,10,Latrines,32145,Yes,No,9.0,26.8,84.9
Western Kenya,Kenya,Western Community 1703,14513,Borehole,17.7,24,4,Latrines,47717,Yes,Yes,5.0,8.5,53.7
Central Senegal,Senegal,Central Community 1704,7403,Well,68.5,21,4,Toilets,44500,Yes,No,7.6,3.6,67.0
Central Senegal,Senegal,Central Community 1705,14786,River,87.4,10,0,Toilets,26966,Yes,Yes,5.6,1.9,78.7
Dar es Salaam,Tanzania,Dar Community 1706,14178,Well,58.5,35,5,Latrines,20784,Yes,No,6.4,3.3,88.4
Northern Ghana,Ghana,Northern Community 1707,4993,Borehole,40.3,25,6,Latrines,38413,No,Yes,7.6,0.1,91.5
Southern Zambia,Zambia,Southern Community 1708,1084,Borehole,46.2,29,10,Toilets,1311,No,No,6.7,25.0,73.3
Eastern Ethiopia,Ethiopia,Eastern Community 1709,4621,River,43.8,30,4,Toilets,16757,Yes,No,6.2,12.0,68.4
Eastern Nigeria,Nigeria,Eastern Community 1710,11924,Well,89.0,33,8,Toilets,1184,Yes,Yes,9.5,26.9,72.8
Western Uganda,Uganda,Western Community 1711,2287,River,54.5,42,0,Toilets,41664,Yes,Yes,4.7,28.2,93.1
Eastern Ethiopia,Ethiopia,Eastern Community 1712,2388,Well,64.4,30,8,Latrines,17324,No,Yes,1.3,29.6,60.6
Eastern Rwanda,Rwanda,Eastern Community 1713,9178,Well,35.5,29,1,Latrines,1106,No,No,7.5,11.6,53.4
Dar es Salaam,Tanzania,Dar Community 1714,6235,Borehole,44.7,49,8,Latrines,12355,No,No,3.8,22.3,94.9
Central Senegal,Senegal,Central Community 1715,4085,Borehole,69.0,25,0,Latrines,40589,No,No,7.6,3.8,54.0
Western Uganda,Uganda,Western Community 1716,729,Borehole,36.7,21,4,Toilets,1406,No,Yes,7.8,29.1,51.6
Northern Ghana,Ghana,Northern Community 1717,11890,Borehole,77.6,17,8,Latrines,14040,Yes,No,5.2,20.9,84.9
Northern Malawi,Malawi,Northern Community 1718,8124,Well,16.0,11,9,Toilets,31895,Yes,Yes,9.9,10.3,68.3
Northern Malawi,Malawi,Northern Community 1719,9467,River,81.5,40,4,Toilets,9323,Yes,Yes,2.3,5.4,80.4
Eastern Nigeria,Nigeria,Eastern Community 1720,923,River,65.8,5,2,Latrines,31341,No,No,2.1,22.8,51.5
Eastern Ethiopia,Ethiopia,Eastern Community 1721,832,Borehole,72.9,3,8,Latrines,46530,No,Yes,3.0,28.6,94.1
Western Kenya,Kenya,Western Community 1722,13400,Well,50.5,7,1,Toilets,9130,No,Yes,7.1,13.8,88.5
Central Senegal,Senegal,Central Community 1723,2930,Borehole,85.1,14,10,Latrines,20481,No,No,9.3,24.0,68.5
Eastern Ethiopia,Ethiopia,Eastern Community 1724,11869,Borehole,64.9,10,8,Latrines,48882,No,No,1.9,16.7,86.0
Eastern Rwanda,Rwanda,Eastern Community 1725,11689,River,40.8,34,4,Toilets,15742,No,No,9.3,13.4,78.0
Eastern Ethiopia,Ethiopia,Eastern Community 1726,10965,Well,40.5,28,6,Latrines,47733,No,Yes,1.1,3.0,70.5
Central Senegal,Senegal,Central Community 1727,11305,Well,76.1,22,2,Toilets,18365,Yes,No,6.5,14.7,83.0
Western Uganda,Uganda,Western Community 1728,5389,Borehole,58.6,3,6,Toilets,24555,Yes,No,7.2,2.4,82.0
Eastern Nigeria,Nigeria,Eastern Community 1729,7309,Borehole,55.0,5,0,Latrines,26870,No,No,4.7,5.4,81.6
Western Uganda,Uganda,Western Community 1730,4611,Well,93.3,50,3,Latrines,37900,Yes,No,2.0,18.2,64.1
Western Uganda,Uganda,Western Community 1731,11601,Borehole,89.8,2,0,Latrines,40399,No,Yes,4.5,2.6,70.8
Northern Ghana,Ghana,Northern Community 1732,2579,Borehole,17.9,23,3,Toilets,15208,Yes,No,6.4,12.4,85.3
Western Uganda,Uganda,Western Community 1733,4099,River,34.0,36,9,Latrines,29625,Yes,Yes,1.2,6.8,82.1
Western Kenya,Kenya,Western Community 1734,13601,Borehole,81.7,3,1,Toilets,28520,No,Yes,2.5,26.8,93.8
Western Kenya,Kenya,Western Community 1735,12719,Borehole,94.3,5,9,Latrines,23332,No,Yes,6.4,9.3,72.0
Central Senegal,Senegal,Central Community 1736,10854,Borehole,54.5,25,3,Toilets,6713,Yes,Yes,1.9,2.5,86.9
Eastern Rwanda,Rwanda,Eastern Community 1737,1470,River,70.5,2,9,Latrines,14287,No,No,0.7,13.9,57.6
Southern Zambia,Zambia,Southern Community 1738,2018,Well,73.2,27,4,Toilets,42876,No,Yes,5.8,19.5,81.9
Western Kenya,Kenya,Western Community 1739,5693,Borehole,26.0,6,5,Latrines,18383,Yes,No,6.9,19.0,78.7
Eastern Rwanda,Rwanda,Eastern Community 1740,12001,Well,76.5,4,0,Toilets,11860,No,No,2.5,2.4,65.8
Eastern Nigeria,Nigeria,Eastern Community 1741,1559,Well,98.7,47,2,Toilets,42544,Yes,Yes,8.6,3.3,54.6
Eastern Nigeria,Nigeria,Eastern Community 1742,931,Well,99.4,43,3,Latrines,20192,No,No,7.0,25.7,60.1
Western Uganda,Uganda,Western Community 1743,11706,Borehole,87.2,31,2,Toilets,12450,Yes,No,7.7,22.8,89.1
Dar es Salaam,Tanzania,Dar Community 1744,2059,River,48.5,20,5,Toilets,13711,Yes,No,3.6,20.5,70.3
Northern Malawi,Malawi,Northern Community 1745,6483,Well,53.9,31,2,Latrines,24702,No,No,8.4,19.6,77.4
Central Senegal,Senegal,Central Community 1746,9148,Borehole,53.9,30,10,Latrines,12264,No,Yes,6.6,8.3,73.3
Western Kenya,Kenya,Western Community 1747,7118,Well,98.3,41,0,Toilets,35761,No,No,5.4,25.5,83.3
Dar es Salaam,Tanzania,Dar Community 1748,4140,Well,87.5,30,5,Toilets,4059,Yes,Yes,8.1,17.6,88.9
Dar es Salaam,Tanzania,Dar Community 1749,3909,River,68.5,19,9,Latrines,19922,No,No,3.1,8.2,77.3
Eastern Rwanda,Rwanda,Eastern Community 1750,2855,Well,46.7,13,10,Latrines,9525,Yes,No,9.3,0.3,55.3
Northern Malawi,Malawi,Northern Community 1751,7344,River,32.1,7,2,Latrines,10329,No,No,8.8,5.7,90.9
Western Uganda,Uganda,Western Community 1752,4416,Well,61.4,27,7,Latrines,39873,No,Yes,9.1,18.9,65.2
Eastern Rwanda,Rwanda,Eastern Community 1753,11004,Well,57.0,29,8,Latrines,33051,No,No,3.4,4.8,86.4
Eastern Rwanda,Rwanda,Eastern Community 1754,11366,Well,96.2,25,6,Latrines,19922,Yes,No,1.9,13.4,85.8
Southern Zambia,Zambia,Southern Community 1755,6108,Well,64.6,25,5,Latrines,2120,No,Yes,5.8,26.6,79.0
Eastern Rwanda,Rwanda,Eastern Community 1756,982,Well,89.3,21,0,Latrines,46378,No,No,4.3,16.2,90.5
Northern Ghana,Ghana,Northern Community 1757,7353,River,99.4,40,9,Toilets,5104,No,No,3.0,5.1,88.5
Eastern Nigeria,Nigeria,Eastern Community 1758,8396,Well,54.5,15,1,Toilets,27224,Yes,Yes,7.7,7.3,62.4
Dar es Salaam,Tanzania,Dar Community 1759,6569,Well,26.3,9,1,Latrines,45651,No,Yes,6.7,13.2,79.1
Dar es Salaam,Tanzania,Dar Community 1760,2300,Well,48.2,29,10,Latrines,12771,No,No,7.6,7.5,73.9
Southern Zambia,Zambia,Southern Community 1761,13241,Borehole,68.9,31,1,Toilets,7559,Yes,No,9.6,11.3,72.9
Eastern Nigeria,Nigeria,Eastern Community 1762,4809,Well,45.6,37,9,Latrines,31276,No,Yes,9.8,23.0,70.4
Eastern Rwanda,Rwanda,Eastern Community 1763,2725,Borehole,75.1,34,4,Toilets,44930,No,Yes,8.4,27.2,86.0
Western Kenya,Kenya,Western Community 1764,9649,River,60.8,26,8,Toilets,13261,No,No,7.3,5.1,68.9
Eastern Ethiopia,Ethiopia,Eastern Community 1765,2994,Well,19.2,29,4,Toilets,49380,No,Yes,3.1,10.9,75.4
